umls_cui_from_meddra	side_effect_name
C0085128	Cardiac output increased
C0423636	Cardiac pain
C0018816	Cardiac septal defect
C0751535	Cardiac syncope
C0007177	Cardiac tamponade
C0018824	Cardiac valve disease
C0600228	Cardio-respiratory arrest
C0877339	Cardio-respiratory distress
C0855931	Cardioactive drug level above therapeutic
C0861111	Cardioactive drug level increased
C0036980	Cardiogenic shock
C0018800	Cardiomegaly
C0878544	Cardiomyopathy
C0036529	Cardiomyopathy secondary NOS
C1444565	Cardiopulmonary failure
C0876994	Cardiotoxicity
C0007222	Cardiovascular disorder
C1392046	Cardiovascular insufficiency
C0869523	Carditis
C0855977	Carotene decreased
C0265101	Carotid artery occlusion
C0007282	Carotid artery stenosis
C0007274	Carotid artery thrombosis
C0007280	Carotid bruit
C1096529	Carotid pulse
C0741983	Carotid sinus hypersensitivity
C0221046	Carotid sinus syndrome
C0007286	Carpal tunnel syndrome
C0231785	Carpo-pedal spasm
C0007370	Catalepsy
C0007384	Cataplexy
C0086543	Cataract
C0011876	Cataract diabetic
C0151547	Cataract specified
C0235259	Cataract subcapsular
C0521706	Cataract unilateral
C0007398	Catatonia
C3251821	Catatonic reaction
C0948808	Catheter blockage
C0742006	Catheter infection
C0948806	Catheter related complication
C0860239	Catheter related infection
C0742007	Catheter sepsis
C0948978	Catheter site cellulitis
C0948815	Catheter site erythema
C0920166	Catheter site haemorrhage
C1112210	Catheter site infection
C0948817	Catheter site inflammation
C0949103	Catheter site pain
C0948818	Catheter site phlebitis
C0863070	Catheter site related reaction
C1868809	Catheter thrombosis
C0392548	Cauda equina syndrome
C0007462	Causalgia
C0854388	Caustic injury
C0007642	Cellulitis
C0854456	Cellulitis gangrenous
C0853857	Cellulitis staphylococcal
C1096243	Central line infection
C0007682	Central nervous system disorder
C3267019	Central nervous system haemorrhage
C0085136	Central nervous system neoplasm
C0151560	Central nervous system stimulation
C0311277	Central obesity
C0154841	Central retinal vein occlusion
C0152191	Central scotoma
C0730328	Central serous retinopathy
C0007758	Cerebellar ataxia
C0740279	Cerebellar atrophy
C0236073	Cerebellar infarction
C1112625	Cerebellar oedema
C0007760	Cerebellar syndrome
C1290398	Cerebral arterial aneurysm
C0877854	Cerebral arteriosclerosis
C0007773	Cerebral arteritis
C0007780	Cerebral artery embolism
C1504438	Cerebral artery stenosis
C0235946	Cerebral atrophy
C0542007	Cerebral haematoma
C2937358	Cerebral haemorrhage
C0007785	Cerebral infarction
C0917798	Cerebral ischaemia
C0079102	Cerebral thrombosis
C1167661	Cerebral vasoconstriction
C0151945	Cerebral venous thrombosis
C0235198	Cerebration impaired
C0023182	Cerebrospinal fluid leakage
C0007815	Cerebrospinal fluid rhinorrhea
C0038454	Cerebrovascular accident
C0007820	Cerebrovascular disorder
C1262200	Cerebrovascular infarction
C0241832	Cerebrovascular insufficiency
C0021092	Cerumen impaction
C0271420	Ceruminosis
C0149642	Cervical adenitis
C0553737	Cervical discharge
C0007868	Cervical dysplasia
C0007855	Cervical polyp
C0920070	Cervical smear test positive
C0262414	Cervical vertebral fracture
C0007860	Cervicitis
C0158281	Cervicobrachial syndrome
C0302592	Cervix carcinoma
C0851140	Cervix carcinoma stage 0
C0007867	Cervix disorder
C0948011	Cervix haemorrhage uterine
C0007873	Cervix neoplasm
C0007933	Chalazion
C3267206	Chalky taste
C1268766	Change in blood pressure
C0278008	Change of bowel habit
C0424489	Chapped lips
C0549202	Chapped skin
C0007971	Cheilitis
C0221264	Cheilosis
C0006435	Chemical burn
C0149866	Chemical conjunctivitis
C0403639	Chemical cystitis
C1096387	Chemical eye injury
C0441713	Chemical injury
C0341505	Chemical peritonitis
C1963921	Chemical phlebitis
C0271298	Chemosis
C0239026	Chest X-ray normal
C0235710	Chest discomfort
C0742339	Chest heaviness
C0347941	Chest mass NOS
C0008031	Chest pain
C0232288	Chest pain exertional
C0438716	Chest pressure
C0232285	Chest pressure sensation of
C0232292	Chest tightness
C0008035	Chest wall pain
C0008039	Cheyne-Stokes respiration
C0085593	Chills
C0008149	Chlamydial infection
C0025218	Chloasma
C0235260	Chloropsia
C0008301	Choking
C0546947	Choking sensation
C0206698	Cholangiocarcinoma
C0008311	Cholangitis
C0008313	Cholangitis sclerosing
C0008325	Cholecystitis
C0149520	Cholecystitis acute
C0085694	Cholecystitis chronic
C1262168	Cholecystitis infective
C0008350	Cholelithiasis
C0008370	Cholestasis
C0005398	Cholestasis extrahepatic
C0008372	Cholestasis intrahepatic
C0860204	Cholestatic liver disease
C2242582	Cholestatic liver injury
C0595929	Cholesterol serum elevated
C0393947	Cholinergic crisis
C0274702	Cholinergic syndrome
C0159076	Choluria
C0553730	Chondrocalcinosis
C0008449	Chondrodystrophy
C0343263	Chondrolysis
C0007302	Chondropathy
C0008489	Chorea
C0541831	Choreiform
C0234967	Choreoathetoid movements
C0085583	Choreoathetosis
C0008497	Choriocarcinoma
C0008513	Chorioretinitis
C0339383	Chorioretinopathy
C0162279	Choroidal detachment
C0339434	Choroidal effusion
C0346392	Choroidal nevus
C0008526	Choroiditis
C0474381	Chromatopsia
C0541832	Chromaturia
C0948447	Chromosomal mutation
C0403592	Chronic allograft nephropathy
C0581386	Chronic anxiety
C0155145	Chronic conjunctivitis
C0401151	Chronic diarrhea
C0346421	Chronic eosinophilic leukaemia
C0015674	Chronic fatigue syndrome
C0867389	Chronic graft versus host disease
C0400930	Chronic hepatic failure
C0019189	Chronic hepatitis
C0524909	Chronic hepatitis B
C0267509	Chronic idiopathic constipation
C0751249	Chronic insomnia
C0238304	Chronic interstitial nephritis
C1561643	Chronic kidney disease
C1279296	Chronic leukaemia
C0341439	Chronic liver disease
C0023434	Chronic lymphocytic leukaemia
C0023473	Chronic myeloid leukaemia
C0023480	Chronic myelomonocytic leukaemia
C0024117	Chronic obstructive pulmonary disease
C0150055	Chronic pain
C0700509	Chronic peptic ulcer
C0023474	Chronic phase chronic myeloid leukemia
C0403447	Chronic renal insufficiency
C0149516	Chronic sinusitis
C0008733	Chylothorax
C0235229	Ciliary muscle spasm
C0151555	Cinchonism
C0877792	Circadian rhythm sleep disorder
C1610069	Circulatory depression
C0239062	Circumoral oedema
C0151838	Circumoral paresthesia
C0036420	Circumscribed scleroderma
C0023891	Cirrhosis alcoholic
C0948342	Citrate toxicity
C1456822	Claudication
C0008909	Claustrophobia
C0159658	Clavicle fracture
C0008924	Cleft lip
C0008925	Cleft palate
C0233976	Clitoral engorgement
C0345217	Cloacal exstrophy
C0234535	Clonic convulsion
C0857332	Clonic movements
C0009024	Clonus
C0009062	Clostridial infection
C1142300	Clostridium colitis
C0238106	Clostridium difficile colitis
C0005778	Clotting
C0278034	Cloudy urine
C0233844	Clumsiness
C0009088	Cluster headache
C0272315	Coagulation factor decreased
C1522058	Coagulation necrosis
C1504379	Coagulation test abnormal
C0151563	Coagulation time prolonged
C0005779	Coagulopathy
C0003492	Coarctation of the aorta
C0009193	Coccydynia
C3495950	Cochlear toxicity
C0854193	Cognitive deterioration
C0009241	Cognitive disorder
C0338656	Cognitive impairment
C0151564	Cogwheel rigidity
C1610622	Coital bleeding
C0424741	Cold feet
C0424740	Cold hands
C0857073	Cold hands & feet
C0009269	Cold intolerance
C0232431	Cold sweat
C0863093	Cold symptoms
C0812387	Coldness
C0009319	Colitis
C0162529	Colitis ischaemic
C0400821	Colitis microscopic
C0009324	Colitis ulcerative
C0009326	Collagen disorder
C0262428	Collagen-vascular disease
C0344329	Collapse
C0267516	Colon atonic
C0007102	Colon cancer
C0235328	Colon obstruction
C0742545	Colonic abscess
C0009376	Colonic polyp
C0009377	Colonic pseudo-obstruction
C2609264	Color vision change
C1527249	Colorectal cancer
C0948380	Colorectal cancer metastatic
C0242225	Colour blindness
C0155018	Colour blindness acquired
C0009421	Coma
C0019147	Coma hepatic
C0221228	Comedone
C0009443	Common cold
C0043037	Common wart
C0206171	Community acquired infection
C0694549	Community acquired pneumonia
C0009492	Compartment syndrome
C0581883	Complete hearing loss
C0852733	Completed suicide
C0149958	Complex partial seizures
C0458219	Complex regional pain syndrome
C1608942	Complication of device insertion
C0854567	Complications of transplant surgery
C0521169	Compression fracture
C0600104	Compulsions
C1704373	Compulsive personality disorder
C2242574	Compulsive sexual behaviour
C2242575	Compulsive shopping
C0006107	Concussion
C0235874	Condition aggravated
C0264886	Conduction disorder
C1319200	Confusion postoperative
C0009676	Confusional state
C0266241	Congenital absence of bile ducts
C0000768	Congenital anomaly
C0265935	Congenital arterial malformation
C0151490	Congenital central nervous system anomaly
C0009081	Congenital clubfoot
C0311245	Congenital cystic kidney disease
C0235833	Congenital diaphragmatic hernia
C0015393	Congenital eye disorder
C0016508	Congenital foot malformation
C0221032	Congenital generalised lipodystrophy
C0158687	Congenital genital malformation
C0042063	Congenital genitourinary abnormality
C0266316	Congenital hydronephrosis
C0700639	Congenital hypertrophic pyloric stenosis
C0010308	Congenital hypothyroidism
C0521546	Congenital joint malformation
C0019569	Congenital megacolon
C0151491	Congenital musculoskeletal anomaly
C0026633	Congenital oral malformation
C0268800	Congenital renal cyst
C0037268	Congenital skin disorder
C0521554	Congenital vesicoureteric reflux
C0007193	Congestive cardiomyopathy
C0041428	Conjoined twins
C0948282	Conjunctival bleb
C0235263	Conjunctival congestion
C0155170	Conjunctival cyst
C0948288	Conjunctival discharge
C0009759	Conjunctival disorder
C0860499	Conjunctival follicles
C0009760	Conjunctival haemorrhage
C1761613	Conjunctival hyperaemia
C0239093	Conjunctival irritation
C0151601	Conjunctival oedema
C3665609	Conjunctival xerosis
C0009763	Conjunctivitis
C0009766	Conjunctivitis allergic
C0009768	Conjunctivitis bacterial
C0549350	Conjunctivitis exacerbated
C0497209	Conjunctivitis infective
C0854165	Conjunctivitis papillary
C0009782	Connective tissue disorder
C1112341	Connective tissue inflammation
C0234428	Consciousness abnormal
C0683369	Consciousness clouding
C0009806	Constipation
C0856088	Constipation aggravated
C0401149	Constipation chronic
C0221717	Contact lens intolerance
C1393815	Contraceptive device complication
C0541840	Contraction skeletal muscle
C0853800	Contrast media reaction
C0009938	Contusion
C0009946	Conversion disorder
C0036572	Convulsion
C0234975	Convulsions aggravated
C0234533	Convulsions generalised
C0234972	Convulsive disorder
C0751494	Convulsive seizure
C0151569	Coombs direct test positive
C0520736	Coombs positive haemolytic anaemia
C0239113	Coombs test positive
C0520966	Coordination abnormal
C0858589	Coordination disturbance
C0034072	Cor pulmonale
C0010032	Corneal abrasion
C0853954	Corneal calcification
C0948284	Corneal decompensation
C0948085	Corneal defect
C0155118	Corneal degeneration
C0162281	Corneal deposits
C0010034	Corneal disorder
C0854114	Corneal epithelium defect
C0854717	Corneal epithelium disorder
C0392163	Corneal erosion
C0853336	Corneal infiltrates
C1112489	Corneal irritation
C0151571	Corneal lesion
C0010037	Corneal oedema
C0010038	Corneal opacity
C0339293	Corneal perforation
C0423226	Corneal pigmentation
C0349702	Corneal scar
C0859996	Corneal sensitivity decreased
C0423232	Corneal staining
C0474444	Corneal stromal edema
C1096274	Corneal thinning
C1956346	Coronary artery disease
C0856171	Coronary artery disease aggravated
C0542052	Coronary artery insufficiency
C0151814	Coronary artery occlusion
C0242231	Coronary artery stenosis
C0010072	Coronary artery thrombosis
C0010068	Coronary heart disease
C1536080	Coronary stent thrombosis
C0175754	Corpus callosum agenesis
C0010093	Corpus luteum cyst
C0086066	Coryza
C0040213	Costochondritis
C0271053	Cotton wool spots
C0010200	Cough
C0151574	Cough decreased
C0574067	Cough increased
C0522046	Cough suppression
C0019559	Coxalgia
C0026821	Cramp muscle
C0010263	Cramp of limb
C0023218	Cramps of lower extremities
C0010266	Cranial nerve disorder
C0151311	Cranial nerve paralysis
C0010278	Craniosynostosis
C0860942	Creatine increased
C0151576	Creatine phosphokinase increased
C0241005	Creatine phosphokinase serum increased
C0740471	Creatinine abnormal NOS
C0151578	Creatinine increased
C0239150	Creatinine low
C0860945	Creatinine normal
C0151577	Creatinine renal clearance decreased
C0010346	Crohn's disease
C0852922	Crohns disease aggravated
C1112632	Cross reactive drug hypersensitivity
C2363980	Cross resistance
C0853811	Croup infectious
C0010399	Crying
C0235939	Crying abnormal
C1096256	Cryptococcal cutaneous infection
C0010414	Cryptococcosis
C0010417	Cryptorchism
C0010418	Cryptosporidiosis infection
C0948002	Crystal urine present
C0151579	Crystalluria
C0151580	Crystalluria calcium
C0855652	Culture negative
C0010481	Cushing's syndrome
C0332601	Cushingoid
C0079773	Cutaneous T-cell lymphoma
C0585186	Cutaneous hypersensitivity
C0024137	Cutaneous lupus erythematosus
C0036203	Cutaneous sarcoidosis
C0262988	Cutaneous vasculitis
C0232452	Cutis anserina
C0010495	Cutis laxa
C0854725	Cyanopsia
C0010520	Cyanosis
C0235532	Cyanosis peripheral
C1394290	Cyanotic heart disease
C0152219	Cyclophoria
C0235238	Cycloplegia
C0948765	Cyclosporine toxicity
C0010709	Cyst
C0014511	Cyst epidermal
C0010692	Cystitis
C0085692	Cystitis haemorrhagic
C0282488	Cystitis interstitial
C0403632	Cystitis noninfective
C0024440	Cystoid macular oedema
C0008626	Cytogenetic abnormality
C0919823	Cytolytic hepatitis
C0877072	Cytomegalovirus chorioretinitis
C0341335	Cytomegalovirus colitis
C0877117	Cytomegalovirus gastritis
C0276252	Cytomegalovirus hepatitis
C0010823	Cytomegalovirus infection
C0206178	Cytomegalovirus retinitis
C1112469	Cytomegalovirus syndrome
C0877635	Cytomegalovirus viraemia
C0010828	Cytopenia
C1868998	Cytotoxic oedema
C0852970	Dacryoadenitis acquired
C0423172	Dacryocanaliculitis
C0010930	Dacryocystitis
C1096185	Dacryostenosis acquired
C0221244	Dandruff
C1608399	Dark circles under eyes
C0011053	Deafness
C3665473	Deafness bilateral
C0018784	Deafness neurosensory
C0151585	Deafness permanent
C0151588	Deafness transitory
C2607947	Deafness unilateral
C1306577	Death
C0410916	Death neonatal
C1619727	Decompensated cirrhosis
C1961112	Decompensation cardiac
C0232462	Decreased appetite
C0863087	Decreased immune responsiveness
C0424091	Decreased interest
C0861157	Decreased night vision
C0151955	Decreased tolerance
C1295585	Decreased vibratory sense
C0011127	Decubitus ulcer
C0149871	Deep vein thrombosis
C0426636	Defaecation urgency
C0264909	Defect conduction intraventricular
C0041782	Deficiency anaemia
C3203690	Deficiency of bile secretion
C0151995	Degeneration of uterine fibroid
C0011175	Dehydration
C0235863	Delayed delivery
C0740411	Delayed gastric emptying
C1112573	Delayed orgasm
C0034012	Delayed puberty
C0520757	Delayed recovery from anaesthesia
C0011206	Delirium
C0234983	Delirium toxic
C0001957	Delirium tremens
C0011253	Delusion
C0424024	Delusional perception
C0497327	Dementia
C0002395	Dementia Alzheimer's type
C0752347	Dementia with Lewy bodies
C0270922	Demyelinating polyneuropathy
C0011304	Demyelination
C0011334	Dental caries
C1096257	Dental discomfort
C0155947	Dentofacial anomaly
C0439857	Dependence
C0524662	Dependence on opiates
C0278080	Dependence physiological
C0278079	Dependence psychological
C0011551	Depersonalisation
C0683416	Depersonalization syndrome
C1533591	Deposit calcium
C0541865	Deposit eye
C0549249	Depressed level of consciousness
C0344315	Depressed mood
C0011570	Depression
C0235876	Depression aggravated
C0221745	Depression suicidal
C0011581	Depressive disorder
C0349217	Depressive episode
C0086132	Depressive symptom
C0233754	Derealisation
C0241060	Dermal cyst
C1696701	Dermatillomania
C0011603	Dermatitis
C0234894	Dermatitis acneiform
C0011615	Dermatitis atopic
C0085932	Dermatitis bullous
C0011616	Dermatitis contact
C0011974	Dermatitis diaper
C0011606	Dermatitis exfoliative
C0457798	Dermatitis eyelid
C0854697	Dermatitis flare-up
C0235955	Dermatitis hemorrhagic
C1323189	Dermatitis infected
C0162823	Dermatitis irritant contact
C0263449	Dermatitis perioral
C0262985	Dermatitis psoriasiform
C0034561	Dermatitis radiation NOS
C0423124	Dermatochalasis
C0011633	Dermatomyositis
C0011636	Dermatophytosis
C0011649	Dermoid cyst
C0237020	Dermoid cyst of ovary
C0920192	Descemetitis
C2747905	Destructive thyroiditis
C0541879	Detachment psychological
C1261562	Detrusor instability
C0011757	Developmental coordination disorder
C0424605	Developmental delay
C0020302	Developmental glaucoma
C0019555	Developmental hip dysplasia
C0853959	Device breakage
C2747891	Device capturing issue
C1608950	Device dislocation
C0549478	Device expulsion
C0853893	Device interaction
C1504465	Device malfunction
C1608397	Device occlusion
C1619702	Device related infection
C2747852	Device related sepsis
C0011848	Diabetes insipidus
C0011849	Diabetes mellitus
C0235398	Diabetes mellitus exacerbated
C0860160	Diabetes mellitus inadequate control
C0241863	Diabetic
C1263960	Diabetic coma
C0342257	Diabetic complication
C0853011	Diabetic hyperglycaemic coma
C0020457	Diabetic hyperosmolar coma
C0011880	Diabetic ketoacidosis
C0011881	Diabetic nephropathy
C0011882	Diabetic neuropathy
C0740447	Diabetic peripheral neuropathy
C0011884	Diabetic retinopathy
C0011875	Diabetic vascular disorder
C0221040	Dialysis dementia
C0019284	Diaphragmatic hernia
C0011991	Diarrhoea
C0151594	Diarrhoea haemorrhagic
C0520863	Diastolic dysfunction
C0235222	Diastolic hypertension
C0856050	Diet refusal
C0541881	Difficulty focusing eyes
C0235162	Difficulty sleeping
C0541882	Difficulty thinking
C0406458	Diffuse alopecia
C0079744	Diffuse large B-cell lymphoma
C0232459	Digestion impaired
C0151595	Digitalis intoxication (NOS)
C0012254	Digitalis toxicity
C0857457	Digoxin effect
C0581164	Digoxin level increased
C0274727	Digoxin toxicity
C0264734	Dilatation atrial
C0264733	Dilatation ventricular
C0221165	Diplegia
C0012569	Diplopia
C0740434	Direct bilirubin increased
C0231170	Disability
C0024138	Discoid lupus erythematosus
C0234215	Discomfort
C0541887	Discomfort rectal
C0242656	Disease progression
C0679254	Disease recurrence
C0394006	Disequilibrium syndrome
C0424296	Disinhibition
C0242354	Disorder birth
C0302590	Disorder calcium (NOS)
C0151846	Disorder periosteal
C0042790	Disorder sight
C0267994	Disorders of fluid, electrolyte and acid-base balance
C0233407	Disorientation
C0012739	Disseminated intravascular coagulation
C0152915	Disseminated tuberculosis
C0086168	Dissociation
C0012746	Dissociative disorder
C0012359	Distention
C0233415	Distractibility
C0231303	Distress
C0548823	Distress gastrointestinal
C0233414	Disturbance in attention
C0855242	Disturbance in sexual arousal
C0541900	Disulfiram like reaction
C0012797	Diuresis
C0948429	Diuretic effect
C0853013	Diverticular perforation
C0012813	Diverticulitis
C0856115	Diverticulitis aggravated
C0012817	Diverticulum
C1510475	Diverticulum intestinal
C0012833	Dizziness
C0549239	Dizziness aggravated
C0234988	Dizziness exertional
C0234987	Dizziness postural
C0857087	Dizzy spells
C0235966	Dreaming excessive
C0860514	Dreamy state
C0013132	Drooling
C0425591	Dropped beats
C0013144	Drowsiness
C0242785	Drug - food interaction
C0013146	Drug abuse
C1536055	Drug administration error
C1510472	Drug dependence
C0521845	Drug effect decreased
C0151730	Drug effect increased
C0392167	Drug effect prolonged
C0011609	Drug eruption
C1320835	Drug fever
C0013182	Drug hypersensitivity
C0852908	Drug ineffective
C0687133	Drug interaction
C0277585	Drug intolerance
C0854095	Drug level changed
C0151598	Drug level decreased
C0151599	Drug level increased
C0235140	Drug maladministration
C1142139	Drug reaction with eosinophilia and systemic symptoms
C0743295	Drug screen positive
C0694536	Drug seeking behavior
C0013220	Drug tolerance
C0521854	Drug tolerance decreased
C0013221	Drug toxicity
C0234547	Drug withdrawal convulsions
C0152128	Drug withdrawal syndrome
C0027609	Drug withdrawal syndrome neonatal
C1142295	Drug-induced cough
C1262760	Drug-induced hepatitis
C1168290	Drug-induced hypersensitivity syndrome
C0860207	Drug-induced liver injury
C0263591	Drug-induced lupus erythematosus
C0270729	Drug-induced parkinsonism
C0850149	Dry cough
C0314719	Dry eye
C0013238	Dry eye syndrome
C0277960	Dry hair
C0043352	Dry mouth
C0847631	Dry scalp
C0151908	Dry skin
C0235234	Dry throat
C0267356	Duodenal perforation
C0013295	Duodenal ulcer
C0541913	Duodenal ulcer aggravated
C0151966	Duodenal ulcer haemorrhage
C0740401	Duodenal ulcer perforation
C0013298	Duodenitis
C0341245	Duodenitis haemorrhagic
C0013312	Dupuytren's contracture
C0013336	Dwarfism
C1510450	Dysacusis
C0392699	Dysaesthesia
C1328291	Dysaesthesia pharynx
C0013362	Dysarthria
C0013363	Dysautonomia
C0237326	Dyschezia
C0858618	Dyschromatopsia
C0234979	Dysdiadochokinesis
C0013369	Dysentery
C0281825	Dysequilibrium
C0549609	Dysfunction adrenal
C0348024	Dysfunction thyroid
C0013378	Dysgeusia
C0234144	Dysgraphia
C0032633	Dyshidrotic eczema
C0013384	Dyskinesia
C0476254	Dyslexia
C0242339	Dyslipidaemia
C0013390	Dysmenorrhoea
C0234162	Dysmetria
C1737329	Dysmorphism
C0235287	Dysosmia
C1384606	Dyspareunia
C0013395	Dyspepsia
C0853926	Dyspepsia aggravated
C0011168	Dysphagia
C0973461	Dysphasia
C1096340	Dysphemia
C1527344	Dysphonia
C0233477	Dysphoria
C0334044	Dysplasia
C0013404	Dyspnoea
C2712054	Dyspnoea at rest
C0853326	Dyspnoea exacerbated
C0231807	Dyspnoea exertional
C1956415	Dyspnoea paroxysmal nocturnal
C0700201	Dyssomnia
C0241237	Dysstasia
C0013415	Dysthymic disorder
C0393593	Dystonia
C0541919	Dystonic reaction
C0333582	Dystrophic calcification
C0013428	Dysuria
C1141959	ECG signs of myocardial ischaemia
C0235283	Ear buzzing
C0456495	Ear canal erythema
C0849796	Ear congestion
C0948296	Ear discomfort
C0013447	Ear disorder
C0522348	Ear feels clogged
C0271412	Ear haemorrhage
C0699744	Ear infection
C0266589	Ear malformation
C0013456	Ear pain
C0849907	Ear pruritus
C0235282	Ear roaring
C0342548	Early menarche
C0239233	Early satiety
C0013473	Eating disorder
C0013491	Ecchymosis
C1262195	Echoacousia
C0476369	Echocardiogram abnormal
C0013528	Echolalia
C0013537	Eclampsia
C0001231	Ectopic ACTH syndrome
C0029396	Ectopic ossification
C0032987	Ectopic pregnancy
C0013589	Ectromelia
C0013592	Ectropion
C0269189	Ectropion of cervix
C0013595	Eczema
C0541922	Eczema allergic atopic
C0853246	Eczema exacerbated
C0155177	Eczema eyelids
C0936250	Eczema herpeticum
C1322253	Eczema infected
C0006114	Edema cerebral
C0239819	Edema hands
C0239340	Edema of lower extremities
C0333244	Edema transient
C0013687	Effusion
C0343166	Effusion of knee
C0235213	Ejaculation decreased
C0234047	Ejaculation delayed
C0235969	Ejaculation disorder
C0278106	Ejaculation failure
C0235214	Ejaculation inhibited
C0743400	Ejection fraction decreased
C0221271	Elastosis perforans
C0013781	Electric shock
C0600125	Electrocardiogram PR prolongation
C0520878	Electrocardiogram PR shortened
C0429098	Electrocardiogram QRS complex
C0438173	Electrocardiogram QRS complex abnormal
C0235475	Electrocardiogram QRS complex prolonged
C0855331	Electrocardiogram QT corrected interval
C0855333	Electrocardiogram QT corrected interval prolonged
C0429028	Electrocardiogram QT interval
C1504435	Electrocardiogram QT interval abnormal
C0151878	Electrocardiogram QT prolonged
C0151879	Electrocardiogram QT shortened
C0429029	Electrocardiogram ST segment
C0855335	Electrocardiogram ST segment abnormal
C0520887	Electrocardiogram ST segment depression
C0520886	Electrocardiogram ST segment elevation
C0919620	Electrocardiogram ST-T change
C0948376	Electrocardiogram ST-T segment abnormal
C0438167	Electrocardiogram T wave abnormal
C0429059	Electrocardiogram T wave amplitude decreased
C0520888	Electrocardiogram T wave inversion
C0232333	Electrocardiogram U wave present
C1096355	Electrocardiogram U-wave abnormality
C0522055	Electrocardiogram abnormal
C0236141	Electrocardiogram abnormal specific
C0855329	Electrocardiogram change
C0877038	Electrocardiogram poor R-wave progression
C0948857	Electrocardiogram repolarisation abnormality
C0151611	Electroencephalogram abnormal
C0151613	Electrolyte abnormality
C0151614	Electrolyte depletion
C1704431	Electrolyte disturbance
C0342579	Electrolyte imbalance
C0740464	Electrolytes NOS decreased
C0476397	Electroretinogram abnormal
C0857093	Elevated liver enzyme levels
C0233479	Elevated mood
C0262469	Embolic stroke
C0013922	Embolism
C0549124	Embolism arterial
C0852628	Embolism arterial (limb)
C0235487	Embolism limb
C0340726	Embolism venous
C1704212	Embolus
C0151618	Embolus leg
C0233459	Emotional disorder
C0700361	Emotional distress
C0013985	Emotional disturbance NOS
C0235113	Emotional poverty
C0677660	Emotional problems
C0034067	Emphysema
C0392168	Emprosthotonus
C0014034	Enanthema
C0014038	Encephalitis
C0238097	Encephalitis cytomegalovirus
C0243010	Encephalitis viral
C0014065	Encephalocele
C0085584	Encephalopathy
C1306587	Encephalopathy acute
C0740832	End stage AIDS
C0745744	End stage liver disease
C0553980	Endocardial fibrosis
C0014118	Endocarditis
C0014130	Endocrine disorder
C1153706	Endometrial adenocarcinoma
C0476089	Endometrial cancer
C0151622	Endometrial disorder
C0014173	Endometrial hyperplasia
C0858833	Endometrial hypertrophy
C0007103	Endometrial neoplasm malignant
C0743516	Endometrial thickening
C0014175	Endometriosis
C0014179	Endometritis
C0014236	Endophthalmitis
C0281803	Endotracheal intubation complication
C1868879	Endotracheal tube obstruction
C0455769	Energy increased
C0156394	Enlarged clitoris
C0392025	Enlargement abdomen
C0014306	Enophthalmos
C0014335	Enteritis
C0743525	Enterobacter sepsis
C0086227	Enterobiasis
C0854504	Enterococcal bacteraemia
C0851881	Enterococcal infection
C0014356	Enterocolitis
C0151623	Enterocolitis haemorrhagic
C1142115	Enterocolitis infectious
C0341318	Enterocutaneous fistula
C0014394	Enuresis
C0151625	Enzyme abnormality
C0014431	Enzyme induction
C0272195	Eosinopenia
C0853644	Eosinophil count abnormal
C2240374	Eosinophil count increased
C0014457	Eosinophilia
C0742965	Eosinophilic cystitis
C0151788	Eosinophilic myocarditis
C1527407	Eosinophilic pneumonia
C0239276	Eosinophiluria
C0016689	Ephelides
C0014488	Epicondylitis
C1697943	Epidermal growth factor receptor decreased
C0334082	Epidermal naevus
C1167709	Epidermal necrosis
C0333472	Epidermolysis
C0014527	Epidermolysis bullosa
C0239279	Epididymal tenderness
C0014534	Epididymitis
C0149881	Epididymo-orchitis
C0238154	Epidural haemorrhage
C1960509	Epidural lipomatosis
C1291078	Epigastric discomfort
C0221490	Epigastric distress
C0232570	Epigastric fullness
C0232493	Epigastric pain
C0235296	Epigastric pain not food-related
C0014541	Epiglottitis
C0014544	Epilepsy
C0852977	Epilepsy aggravated
C0151628	Epiphyses premature fusion
C0014571	Epiphysiolysis
C0014583	Episcleritis
C0014591	Epistaxis
C1318314	Epithelial cells urine
C0149678	Epstein-Barr virus infection
C0278126	Equilibrium loss
C0242350	Erectile dysfunction
C0541941	Erection increased
C2242621	Erection prolonged
C0014714	Ergot poisoning
C0267055	Erosive oesophagitis
C0014724	Eructation
C0302295	Eruption
C0162848	Eruption lichenoid
C0221252	Eruptive xanthoma
C0014733	Erysipelas
C0041834	Erythema
C0234906	Erythema annulare
C0263358	Erythema annulare centrifugum
C0239488	Erythema facial
C0085273	Erythema infectiosum
C0014742	Erythema multiforme
C0857751	Erythema multiforme minor
C0014743	Erythema nodosum
C0239454	Erythema of eyelid
C0877440	Erythema periorbital
C0014752	Erythrasma
C1527405	Erythrocytosis
C0748052	Erythrodermic psoriasis
C0023440	Erythroleukaemia
C0014804	Erythromelalgia
C0221395	Erythropenia
C0702109	Erythropoiesis abnormal
C0271211	Erythropsia
C1112192	Erythrosis
C0521172	Eschar
C1096262	Escherichia bacteraemia
C0854453	Escherichia sepsis
C0341117	Esophageal erosions
C0085580	Essential hypertension
C0040028	Essential thrombocythaemia
C0270736	Essential tremor
C0235146	Euphoric mood
C0271468	Eustachian tube disorder
C0302859	Euthyroid goiter
C0272126	Evans syndrome
C0852967	Exacerbation of acne
C0349790	Exacerbation of asthma
C0853762	Exacerbation of hot flushes
C0694563	Excessive daytime sleepiness
C0426623	Excessive flatulence
