DRUG_NAME,ACCESSION,TARGET_NAME,ACT_VALUE,ACT_TYPE,SMILES
thymol,Q4QYD9,,4.54,EC50,CC(C)C1=C(O)C=C(C)C=C1
niraparib,Q460N3,PARP15,4.54,IC50,NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1
roxadustat,Q9GZT9,EGLN1,4.54,IC50,CC1=C2C=C(OC3=CC=CC=C3)C=CC2=C(O)C(=N1)C(=O)NCC(O)=O
vadadustat,Q9NWT6,HIF1AN,4.54,IC50,C1=CC(=CC(=C1)Cl)C2=CC(=C(N=C2)C(=O)NCC(=O)O)O
vadadustat,Q9NWT6,HIF1AN,4.54,IC50,C1=CC(=CC(=C1)Cl)C2=CC(=C(N=C2)C(=O)NCC(=O)O)O
econazole,P21554,CNR1,4.543,Ki,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
paracetamol,P12530,ALOX15,4.547,IC50,CC(=O)NC1=CC=C(O)C=C1
amiodarone,P15207,Ar,4.55,Ki,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
chloroxine,O15296,ALOX15B,4.55,IC50,OC1=C2N=CC=CC2=C(Cl)C=C1Cl
diclofenac,Q9HAW8,UGT1A10,4.55,Ki,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
dicycloverine,P35498|Q99250|Q9NY46,SCN1A|SCN2A|SCN3A,4.55,IC50,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1
dimetacrine,Q7KQK5,AMA1,4.55,IC50,CN(C)CCCN1C2=CC=CC=C2C(C)(C)C2=C1C=CC=C2
edetic acid,Q79MP6,blaIMP-1,4.55,IC50,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O
glutamic acid,Q03469,murI,4.55,Ki,N[C@@H](CCC(O)=O)C(O)=O
hydroxycarbamide,P00918,CA2,4.55,Ki,NC(=O)NO
mafenide,Q50565,,4.55,Ki,NCC1=CC=C(C=C1)S(N)(=O)=O
morphine,O15245,SLC22A1,4.55,IC50,CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35
nicotine,P08482|P08483|P08485|P08911|P10980,Chrm1|Chrm3|Chrm4|Chrm5|Chrm2,4.55,IC50,CN1CCC[C@H]1C1=CC=CN=C1
niflumic acid,Q15561,TEAD4,4.55,Kd,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)N=CC=C1
ofloxacin,Q9Y5N1,HRH3,4.55,IC50,CC1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
risperidone,Q63380,NET,4.55,Ki,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
rolitetracycline,Q76353,,4.55,IC50,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(=O)NCN2CCCC2)=C1O)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
secnidazole,C3TDZ2,fabH,4.55,IC50,CC(O)CN1C(C)=NC=C1[N+]([O-])=O
sorivudine,Q9XZT6,dnk,4.55,IC50,OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O
zidovudine,P23919,DTYMK,4.55,Ki,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
zidovudine,P9WKE1,tmk,4.55,Ki,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
capsaicin,Q8R4D5,Trpm8,4.55,IC50,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1
oxiconazole,P14902,IDO1,4.55,IC50,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
sulbentine,P33535,Oprm1,4.55,IC50,S=C1SCN(CC2=CC=CC=C2)CN1CC1=CC=CC=C1
diosmetin,O60341,KDM1A,4.55,IC50,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1
diosmetin,O60341,KDM1A,4.55,IC50,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1
saquinavir,Q01959,SLC6A3,4.555,Ki,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC2=CC=CC=C2C=C1
acefylline,P29275,ADORA2B,4.56,Ki,CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O
aminobutyric acid,P31649,Slc6a13,4.56,IC50,NCCCC(O)=O
hexachlorophene,P11142,HSPA8,4.56,IC50,OC1=C(Cl)C=C(Cl)C(Cl)=C1CC1=C(Cl)C(Cl)=CC(Cl)=C1O
mafenide,P35218,CA5A,4.56,Ki,NCC1=CC=C(C=C1)S(N)(=O)=O
methaqualone,P18507|P31644|P47870,GABRG2|GABRA5|GABRB2,4.56,EC50,CC1=C(C=CC=C1)N1C(C)=NC2=CC=CC=C2C1=O
niclosamide,P10721,KIT,4.56,IC50,OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O
ropivacaine,Q14524,SCN5A,4.56,IC50,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C
rosiglitazone,P21397,MAOA,4.56,Ki,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
trimipramine,O15245,SLC22A1,4.56,IC50,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=C1C=CC=C2
dydrogesterone,Q9Y466,NR2E1,4.561,Kd,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
medroxyprogesterone,P25021,HRH2,4.561,Ki,C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12
miconazole,P04626,ERBB2,4.562,IC50,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
atovaquone,Q54A96,dhod,4.57,Ki,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O
beclometasone dipropionate,P05113,IL5,4.57,IC50,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
caffeine,P29276|P30543,Adora2b|Adora2a,4.57,Ki,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
chlorpromazine,O15245,SLC22A1,4.57,IC50,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2
dapsone,P08684,CYP3A4,4.57,Ki,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
fenoprofen,Q8N695,SLC5A8,4.57,IC50,CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1
glutamine,Q9Z1J7,Slc1a5,4.57,IC50,N[C@@H](CCC(N)=O)C(O)=O
hesperetin,P49841,GSK3B,4.57,IC50,COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1
levosulpiride,P08909|P14842|P30994,Htr2c|Htr2a|Htr2b,4.57,Ki,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O
memantine,O15245,SLC22A1,4.57,IC50,CC12CC3CC(C)(C1)CC(N)(C3)C2
miconazole,Q96D31,ORAI1,4.57,IC50,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
nimesulide,P11511,CYP19A1,4.57,IC50,CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O
sertraline,P12746,luxR,4.57,IC50,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
sulbactam,P24735,ampC,4.57,IC50,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O
sulfobromophthalein,O60760,HPGDS,4.57,IC50,OC1=C(C=C(C=C1)C1(OC(=O)C2=C1C(Br)=C(Br)C(Br)=C2Br)C1=CC(=C(O)C=C1)S(O)(=O)=O)S(O)(=O)=O
tropisetron,P02708|P07510|P11230|Q07001,CHRNA1|CHRNG|CHRNB1|CHRND,4.57,Ki,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C1=CNC2=C1C=CC=C2
valdecoxib,P23219,PTGS1,4.57,IC50,CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
gabexate,O08590,Aoc3,4.57,Ki,CCOC(=O)C1=CC=C(OC(=O)CCCCCNC(N)=N)C=C1
quinine,Q7RTT9,SLC29A4,4.57,Ki,COC1=CC=C2N=CC=C([C@@H](O)[C@@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)C2=C1
diethylstilbestrol,P28335,HTR2C,4.575,Ki,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
ritonavir,P35372,OPRM1,4.575,Ki,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1
astemizole,Q96FL8,SLC47A1,4.58,IC50,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1
beclometasone dipropionate,P04401,Il5,4.58,IC50,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
budesonide,P04401,Il5,4.58,IC50,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
clotrimazole,P43140,Adra1a,4.58,IC50,ClC1=C(C=CC=C1)C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
fenoprofen,P79208,PTGS2,4.58,IC50,CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1
aminobutyric acid,Q9NSD5,SLC6A13,4.58,IC50,NCCCC(O)=O
masoprocol,G5EF15,pos-1,4.58,EC50,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
reserpine,Q9UNQ0,ABCG2,4.58,IC50,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=C4C=CC(OC)=C5)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1
sitosterol,P06746,POLB,4.58,IC50,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
tadalafil,P37136,Ache,4.58,IC50,CN1CC(=O)N2[C@H](CC3=C(NC4=C3C=CC=C4)[C@H]2C2=CC=C3OCOC3=C2)C1=O
tadalafil,P37136,Ache,4.58,IC50,CN1CC(=O)N2[C@H](CC3=C(NC4=C3C=CC=C4)[C@H]2C2=CC=C3OCOC3=C2)C1=O
zanamivir,Q8WWR8,NEU4,4.58,Ki,CC(=O)N[C@@H]1[C@@H](NC(N)=N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
ascorbic acid,P00689,Amy2,4.58,IC50,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O
eugenol,P09917,ALOX5,4.58,IC50,COC1=CC(CC=C)=CC=C1O
eugenol,P09917,ALOX5,4.58,IC50,COC1=CC(CC=C)=CC=C1O
succinimide,Q96SW2,CRBN,4.58,Ki,O=C1CCC(=O)N1
ketobemidone,Q8TCU5,GRIN3A,4.585,Ki,CCC(=O)C1(CCN(C)CC1)C1=CC(O)=CC=C1
miconazole,P35354,PTGS2,4.588,IC50,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
bufuralol,P10635,CYP2D6,4.59,Ks,CCC1=CC=CC2=C1OC(=C2)C(O)CNC(C)(C)C
cefapirin,P35462,DRD3,4.59,IC50,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSC1=CC=NC=C1)C2=O)C(O)=O
clozapine,P18090,Adrb1,4.59,Ki,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2
codeine,P41145,OPRK1,4.59,Ki,COC1=CC=C2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5OC1=C2[C@]45CCN3C
flurbiprofen,P12104,FABP2,4.59,Ki,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
imatinib,P35968,KDR,4.59,IC50,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
imatinib,O75751,SLC22A3,4.59,IC50,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1
losartan,P27815|Q07343|Q08493|Q08499,PDE4A|PDE4B|PDE4C|PDE4D,4.59,IC50,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1
lovastatin,Q92769,HDAC2,4.59,IC50,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
menadione,P21397,MAOA,4.59,Ki,CC1=CC(=O)C2=CC=CC=C2C1=O
nisoldipine,P35498|Q99250|Q9NY46,SCN1A|SCN2A|SCN3A,4.59,IC50,COC(=O)C1=C(C)NC(C)=C(C1C1=C(C=CC=C1)[N+]([O-])=O)C(=O)OCC(C)C
pralidoxime,P22303,ACHE,4.59,Kd,C[N+]1=CC=CC=C1C=NO
sitosterol,O42275,ache,4.59,IC50,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
sitosterol,O42275,ache,4.59,IC50,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
tryptophan,Q6DWJ6,GPR139,4.59,IC50,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
tyramine,P46098,HTR3A,4.59,EC50,NCCC1=CC=C(O)C=C1
phenol,Q3I4V7,CAN2,4.59,Ki,OC1=CC=CC=C1
nelfinavir,P13945,ADRB3,4.592,Ki,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
diethylstilbestrol,P22303,ACHE,4.593,IC50,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
terconazole,P23975,SLC6A2,4.599,Ki,CC(C)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
amiloride,Q16515,ASIC2,4.6,IC50,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1
bisantrene,P15559,NQO1,4.6,IC50,C1CN=C(N\N=C\C2=C3C=CC=CC3=C(\C=N\NC3=NCCN3)C3=C2C=CC=C3)N1
clavulanic acid,P0A3M1,bla,4.6,Ki,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O
dabigatran etexilate,Q86VL8,SLC47A2,4.6,IC50,CCCCCCOC(=O)NC(=N)C1=CC=C(NCC2=NC3=CC(=CC=C3N2C)C(=O)N(CCC(=O)OCC)C2=NC=CC=C2)C=C1
darifenacin,P14416,DRD2,4.6,IC50,NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1
levomenthol,Q7Z2W7,TRPM8,4.6,EC50,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
doxorubicin,P61823,RNASE1,4.6,IC50,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)C(=O)C2=CC=C1
doxorubicin,O52691,scaIR,4.6,IC50,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)C(=O)C2=CC=C1
doxycycline,P08254,MMP3,4.6,IC50,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12
doxycycline,P22894,MMP8,4.6,IC50,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12
econazole,P00811,ampC,4.6,IC50,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
econazole,P40925,MDH1,4.6,IC50,ClC1=CC=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
ethacrynic acid,P78417,GSTO1,4.6,IC50,CCC(=C)C(=O)C1=C(Cl)C(Cl)=C(OCC(O)=O)C=C1
fasudil,Q12809,KCNH2,4.6,Ki,O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2
aminobutyric acid,Q9Z0U4,Gabbr1,4.6,IC50,NCCCC(O)=O
ketoconazole,P14902,IDO1,4.6,IC50,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
lamotrigine,Q62968,Scn10a,4.6,IC50,NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1
levorphanol,O42275,ache,4.6,Ki,CN1CC[C@]23CCCC[C@H]2[C@H]1CC1=C3C=C(O)C=C1
levorphanol,P35498|Q99250|Q9NY46,SCN1A|SCN2A|SCN3A,4.6,IC50,CN1CC[C@]23CCCC[C@H]2[C@H]1CC1=C3C=C(O)C=C1
naltrexone,P36544,CHRNA7,4.6,IC50,OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC1CC1
miconazole,P40925,MDH1,4.6,IC50,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
miltefosine,P30304,CDC25A,4.6,IC50,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C
mitomycin,P14902,IDO1,4.6,Ki,CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
omeprazole,Q8NFI3,ENGASE,4.6,IC50,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C
ondansetron,Q05941,Chrna7,4.6,IC50,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
picrotin,P48167,GLRB,4.6,IC50,CC(C)(O)[C@@H]1[C@H]2OC(=O)[C@@H]1[C@]1(O)C[C@H]3O[C@]33C(=O)O[C@H]2[C@]13C
quinidine,Q7RTT9,SLC29A4,4.6,Ki,COC1=CC=C2N=CC=C([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)C2=C1
sulbactam,P00809,blaY,4.6,IC50,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O
tranylcypromine,O60341,KDM1A,4.6,Ki,N[C@@H]1C[C@H]1C1=CC=CC=C1
tubocurarine,Q92952,KCNN1,4.6,IC50,COC1=CC2=C3C=C1OC1=CC(C[C@@H]4C5=C(OC6=CC=C(C[C@@H]3N(C)CC2)C=C6)C(O)=C(OC)C=C5CC[N+]4(C)C)=CC=C1O
vecuronium,Q86VL8,SLC47A2,4.6,IC50,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1
vinburnine,P08173,CHRM4,4.6,Kd,CC[C@@]12CCCN3CCC4=C([C@H]13)N(C1=CC=CC=C41)C(=O)C2
capsaicin,Q17ST2,Kcna7,4.6,IC50,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1
eburnamonine,P08173,CHRM4,4.6,Kd,CC[C@]12CCCN3CCC4=C([C@@H]13)N(C1=CC=CC=C41)C(=O)C2
quercetin,Q00534,CDK6,4.6,IC50,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1
tiratricol,P12004,PCNA,4.6,IC50,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1
rimonabant,P22303,ACHE,4.6,IC50,CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Cl)C=C1
dexlansoprazole,Q8NFI3,ENGASE,4.6,IC50,CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=C(N1)C=CC=C2
fampridine,P22462,Kcnc2,4.6,IC50,NC1=CC=NC=C1
indacaterol,P14416,DRD2,4.6,IC50,CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=CC=C(O)C2=C1C=CC(=O)N2
acetic acid,O15552,FFAR2,4.6,EC50,CC(O)=O
dibutylphthalate,O75762,TRPA1,4.6,EC50,CCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCC
etelcalcetide,P41180,CASR,4.6,EC50,C[C@@H](NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](C)NC(=O)[C@@H](CSSC[C@H](N)C(O)=O)NC(C)=O)C(=O)N[C@H](CCCNC(N)=N)C(N)=O
adenosine,P00813,ADA,4.602,Kd,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
carbutamide,Q09428|Q14654,ABCC8|KCNJ11,4.602,Kd,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
propafenone,O15244,SLC22A2,4.602,IC50,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1
tamoxifen,P33032,MC5R,4.604,Ki,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
vindesine,P08684,CYP3A4,4.607,Km,CC[C@]1(O)C[C@@H]2CN(C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](O)[C@]1(O)C(N)=O
aliskiren,P08684,CYP3A4,4.61,Km,COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1
celecoxib,O78749,MT-CO1,4.61,IC50,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
profenamine,P22303,ACHE,4.61,Ki,CCN(CC)C(C)CN1C2=CC=CC=C2SC2=C1C=CC=C2
hymecromone,P15121,AKR1B1,4.61,IC50,CC1=CC(=O)OC2=C1C=CC(O)=C2
lansoprazole,Q8NFI3,ENGASE,4.61,IC50,CC1=C(CS(=O)C2=NC3=C(N2)C=CC=C3)N=CC=C1OCC(F)(F)F
methaqualone,P18507|P47869|P47870,GABRG2|GABRA2|GABRB2,4.61,EC50,CC1=C(C=CC=C1)N1C(C)=NC2=CC=CC=C2C1=O
mibefradil,Q9NPC2,KCNK9,4.61,IC50,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=C(N2)C=CC=C3)CCC2=CC(F)=CC=C2[C@@H]1C(C)C
mibefradil,Q9NPC2,KCNK9,4.61,IC50,COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=C(N2)C=CC=C3)CCC2=CC(F)=CC=C2[C@@H]1C(C)C
molsidomine,P03372,ESR1,4.61,IC50,CCOC(=O)N=C1O[N-][N+](=C1)N1CCOCC1
papaverine,P22303,ACHE,4.61,IC50,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1
papaverine,O42275,ache,4.61,IC50,COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1
ritonavir,O15244,SLC22A2,4.61,IC50,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1
warfarin,Q16549,PCSK7,4.61,IC50,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O
enoxolone,P09917,ALOX5,4.61,IC50,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O
enoxolone,P09917,ALOX5,4.61,IC50,CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@@]12C)C(O)=O
rutoside,P34913,EPHX2,4.61,IC50,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
beclabuvir,Q12809,KCNH2,4.61,IC50,COC1=CC=C2C3=C(C4CCCCC4)C4=CC=C(C=C4N3C[C@]3(C[C@H]3C2=C1)C(=O)N1C2CCC1CN(C)C2)C(=O)NS(=O)(=O)N(C)C
nelfinavir,P15207,Ar,4.615,Ki,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC1=CC=CC=C1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
cefotaxime,P0AD65,mrdA,4.617,IC50,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(C)=O)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1
adenosine,P29275,ADORA2B,4.62,EC50,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
allopurinol,Q9FBI2,stxA,4.62,IC50,OC1=NC=NC2=C1C=NN2
benzatropine,P31645,SLC6A4,4.62,IC50,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(C1=CC=CC=C1)C1=CC=CC=C1
betamipron,Q4U2R8,SLC22A6,4.62,Ki,OC(=O)CCNC(=O)C1=CC=CC=C1
