classe,roll_belt,pitch_belt,yaw_belt,total_accel_belt,kurtosis_roll_belt,kurtosis_picth_belt,skewness_roll_belt,skewness_roll_belt.1,max_roll_belt,max_picth_belt,max_yaw_belt,min_roll_belt,min_pitch_belt,min_yaw_belt,amplitude_roll_belt,amplitude_pitch_belt,var_total_accel_belt,avg_roll_belt,stddev_roll_belt,var_roll_belt,avg_pitch_belt,stddev_pitch_belt,var_pitch_belt,avg_yaw_belt,stddev_yaw_belt,var_yaw_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,var_accel_arm,avg_roll_arm,stddev_roll_arm,var_roll_arm,avg_pitch_arm,stddev_pitch_arm,var_pitch_arm,avg_yaw_arm,stddev_yaw_arm,var_yaw_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,kurtosis_roll_arm,kurtosis_picth_arm,kurtosis_yaw_arm,skewness_roll_arm,skewness_pitch_arm,skewness_yaw_arm,max_roll_arm,max_picth_arm,max_yaw_arm,min_roll_arm,min_pitch_arm,min_yaw_arm,amplitude_roll_arm,amplitude_pitch_arm,amplitude_yaw_arm,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,kurtosis_roll_dumbbell,kurtosis_picth_dumbbell,skewness_roll_dumbbell,skewness_pitch_dumbbell,max_roll_dumbbell,max_picth_dumbbell,max_yaw_dumbbell,min_roll_dumbbell,min_pitch_dumbbell,min_yaw_dumbbell,amplitude_roll_dumbbell,amplitude_pitch_dumbbell,total_accel_dumbbell,var_accel_dumbbell,avg_roll_dumbbell,stddev_roll_dumbbell,var_roll_dumbbell,avg_pitch_dumbbell,stddev_pitch_dumbbell,var_pitch_dumbbell,avg_yaw_dumbbell,stddev_yaw_dumbbell,var_yaw_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,kurtosis_roll_forearm,kurtosis_picth_forearm,skewness_roll_forearm,skewness_pitch_forearm,max_roll_forearm,max_picth_forearm,max_yaw_forearm,min_roll_forearm,min_pitch_forearm,min_yaw_forearm,amplitude_roll_forearm,amplitude_pitch_forearm,total_accel_forearm,var_accel_forearm,avg_roll_forearm,stddev_roll_forearm,var_roll_forearm,avg_pitch_forearm,stddev_pitch_forearm,var_pitch_forearm,avg_yaw_forearm,stddev_yaw_forearm,var_yaw_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z
A,120,16,1.25,18,5.681869,6.235912,-1.581427,-2.816699,1.3,18,5.7,-1.4,17,5.7,2.61,1,0.1,119.3,0.5,0.2,16.3,0.2,0,0.6,0.4,0.13,0.14,0.11,-0.16,-26,62,-163,35,595,-332,-38.4,-37.1,-16.1,11,19.2692,-48.6175,7.2821,53.0292,-40.355,2.1993,4.8369,4.0113,9.3649,87.7021,1.7,-1.17,0.9,89,-55,-36,687,88,184,21.45558,0.09028,-0.48879,4.15709,-0.75552,-0.65607,-16.7,15.7,26,-43.1,-26.4,9,26.4,42.1,17,72,-19.9,81.1,0.8547,-0.2408,-0.6971,0.5185,-6,137.6,0.9,-49.8,81.1,0.9,43.75,56.42,2,1.8917,-35.4948,31.8457,1014.1501,-22.2855,9.4071,88.4938,104.5173,13.3081,177.1066,0.19,0.29,0.02,-3,10,11,-499,357,-203,33.9,19.9,-80.1,1.988,1.0656,1.2817,-1.4313,31.5,-61.5,2,-0.4,-81.9,2,31.91,20.4,16,14.14808,33.9525,1.56647,2.45384,6.52025,5.97072,35.64946,-65.9725,5.05254,25.5282,0.59,-1.99,-0.34,-69,137,1,-202,738,497
A,118,17.3,-1.17,17,-1.247113,13.461947,0.28013,-3.864606,-0.4,18,-1.2,-1.2,17,-1.2,0.82,1,0.1,118.9,0.3,0.1,17.3,0.2,0,-0.8,0.3,0.07,0.1,0.14,-0.2,-20,60,-157,20,598,-329,-59,-31.6,-9.28,19,57.1396,-54.0725,8.0375,64.6016,-19.5849,11.2257,126.0174,-29.7543,31.8512,1014.4992,1.4,-0.98,0.92,110,-95,-116,727,-1,71,-1.57699,-1.16474,-1.30977,0.2905,-0.50949,-0.41809,-1,5.8,27,-31.6,-91.5,4,30.57,97.31,23,-3.1,-6.2,150.1,-0.208,-0.7814,0.759,-0.6015,61.5,150.1,-0.2,-46.1,0,-0.2,107.68,150.1,3,0.7396,53.9548,39.8197,1585.6098,1.2172,27.0201,730.0849,90.504,41.7172,1740.3232,-0.13,0.18,0.28,-2,-1,32,-493,369,-174,-6.59,22.9,-134,-1.5114,-1.1164,0.4063,-0.6374,22.9,-71.6,-1.5,-0.2,-134,-1.5,23.07,62.4,32,35.72314,15.11569,8.23034,67.73844,9.57686,8.37169,70.08519,-92.80196,21.04441,442.867,0.13,-1.24,-0.9,-304,47,35,-626,614,661
A,115,21.3,-11.8,18,-1.498947,-2.06798,0.416939,-0.121453,-11.4,18,-1.5,-13.5,17,-1.5,2.1,1,0.3,113.8,0.9,0.8,21.6,0.4,0.2,-12.6,0.8,0.6,0.02,0.13,-0.21,-24,64,-164,15,600,-328,-111,-48.2,-52.8,25,5.5365,-85.0255,12.0839,146.0199,-60.2941,4.4737,20.0142,-74.4431,10.0645,101.2933,-0.63,-0.06,0.38,-242,-14,20,-77,269,623,0.79028,-0.69254,-0.34107,1.40293,0.88986,-0.98134,-48.2,-52.8,32,-64.3,-83.1,25,16.1,30.3,7,-46.8,-32.1,98.8,0.819,2.0497,-0.4132,-1.2829,19.5,127.5,0.8,-81.3,0,0.8,100.8,127.54,5,1.7271,-58.1668,28.0119,784.6664,-25.3591,20.6451,426.222,86.7552,26.7223,714.0816,-0.03,0.16,-0.07,-14,-20,37,-517,341,-135,12,8.98,-104,-1.2094,-0.3453,-0.2272,-0.0816,12.8,-104,-1.2,9,-106,-1.2,3.82,2,20,0.89961,13.71373,1.32,1.74241,10.92392,1.09218,1.19286,-104.76471,0.58611,0.34353,-0.1,0.53,0,-182,67,10,-355,763,612
A,0.49,5.5,-88.1,5,3.460297,NA,-0.600757,NA,-88,5,3.5,-88.2,5,3.5,0.2,0,0,0.5,0.1,0,5.2,0.1,0,-88.1,0,0,0.05,0.03,0.03,-19,-2,49,52,632,-308,0,0,0,38,0.0664,0,0,0,0,0,0,0,0,0,0,-0.02,-0.11,-280,155,-190,-421,455,344,NA,NA,10.75524,NA,NA,-3.50095,0,0,38,0,0,37,0,0,1,56.6,-50.2,-76.6,0.8017,0.1199,0.5802,-0.105,-47.9,-73.7,0.8,-51,-80.4,0.8,3.12,6.72,30,0.1141,56.5437,1.9554,3.8237,-49.8252,0.64,0.4096,-76.9763,1.5027,2.258,0.37,0.14,-0.39,-141,157,-203,-520,338,58,53.1,-54.7,167,-0.4714,-1.2195,0.4489,-0.1565,-52.9,171,-0.5,-56.2,163,-0.5,3.3,8,33,3.97564,52.19767,0.74049,0.54833,-54.60233,0.82447,0.67976,167.32558,2.61608,6.84385,-0.08,0.08,-0.05,235,111,-186,140,540,644
A,1.3,3.2,-87.7,3,-0.751481,8.95396,0.646926,-1.323381,-87.6,4,-0.8,-87.8,2,-0.8,0.2,2,0.1,1.5,0.3,0.1,4.2,0.7,0.5,-87.7,0.1,0.01,0.02,0,-0.05,-8,4,25,41,570,-436,122,-37.5,-55,46,76.1313,82.1067,19.4667,378.9534,-19.4329,22.8625,522.6951,36.1991,54.6614,2987.8724,-1.14,0.16,0.08,171,34,-414,499,-118,-434,-1.43667,-1.34192,-0.15193,0.43842,-0.32791,0.55053,18.9,107,46,-44.5,-55,12,63.4,162,34,86.7,62.7,-27.7,-1.0469,2.5171,0.3632,-0.5174,95.5,110.7,-1,-98,-61.5,-1,193.52,172.26,5,1.2404,-25.9617,93.6347,8767.4499,-2.1914,47.6127,2266.9711,32.3939,29.355,861.7137,0.06,0.08,-0.41,30,39,-14,-295,376,317,-171,-10.1,-6.5,-1.1427,0.0858,-0.3276,0.9655,6.3,48.3,-1.1,-20.9,-54,-1.1,27.21,102.3,26,12.24545,-157.57778,51.5397,2656.3404,-5.13867,8.7569,76.68322,-22.51156,28.38364,805.63086,-0.37,-3.69,-0.25,200,75,146,470,-407,-67
A,1.19,4.77,-87.7,3,5.178817,NA,-2.638198,NA,-87.7,3,5.2,-87.8,3,5.2,0.1,0,0,1,0.1,0,4.7,0.2,0,-87.7,0,0,0.05,0,0,-9,2,30,61,568,-426,66.3,25.9,76.9,27,22.4218,58.4745,4.3404,18.8389,-8.3783,25.0632,628.1657,35.51,27.2934,744.9315,1.12,-0.22,0.38,-192,160,-83,-220,247,615,-1.38943,-1.12282,-1.01473,-0.20774,-0.21112,0.33023,25.9,76.9,31,-50.3,-15.9,15,76.2,92.8,16,-130.8,-24.4,9.7,0.1618,0.0774,-0.8673,-0.174,92.1,144,0.2,-114.7,-93,0.2,206.81,237.03,2,2.5837,35.6425,75.8537,5753.7809,20.9391,49.309,2431.3754,30.209,55.6931,3101.7171,0.06,-0.39,-0.3,-5,-20,2,-395,272,310,146,-19,118,0.4919,-1.5134,1.0848,0.0627,5.3,118,0.5,-37.5,-22.1,0.5,42.82,140.1,36,18.9889,0.59574,155.32766,24126.68085,-25.68,11.62096,135.04668,45.52447,48.06078,2309.8385,0.08,-0.67,0.07,-60,285,195,-592,1120,-515
A,1.39,5.31,-87.6,3,-0.993607,-2.069876,0.116288,-0.073457,-87.4,4,-1,-87.7,3,-1,0.3,1,0.3,1.2,0.3,0.1,5.5,0.6,0.4,-87.6,0.1,0.01,0.02,0,0.03,-11,2,31,54,584,-417,84.1,45.1,96.3,30,4.8247,79.6875,8.126,66.032,42.8214,5.6478,31.8981,87.1518,9.5055,90.3549,-0.03,0.06,-0.16,-223,158,-118,-387,202,598,1.09724,-1.23878,0.18682,-1.56241,-0.63255,-1.29147,47.2,96.4,31,27.6,70.3,24,19.6,26.1,7,13.5,-57.1,98,54.9979,55.6279,-7.3844,-7.4466,-56.2,98.8,55,-82,57.2,55,25.85,41.65,39,6.4766,14.4209,3.8767,15.0291,-57.2589,3.3831,11.4454,97.4398,5.4883,30.1211,0.02,0.02,0,-205,51,315,-418,241,311,-142,-72.5,81.5,40.0597,33.6263,5.8557,-5.2411,-0.1,84.9,40.1,-72.5,0.3,40.1,72.36,84.56,36,97.74416,-134.42,19.04587,362.74531,-65.51857,9.62496,92.63982,76.25071,11.63867,135.45865,-0.32,-0.27,0.28,-35,277,213,-421,928,-343
A,124,25.9,-1.79,19,0.005503,3.12152,0.280372,-2.237207,-1.8,20,0,-2.3,19,0,0.53,1,0.1168,124,0,0,26.0019,0.0571,0.0033,-2.093,0.1237,0.0153,-0.4,-0.03,-0.43,-41,69,-173,2,574,-383,123,-40,61.6,25,35.4637,86.7113,13.7833,189.9799,-36.2887,6.3217,39.9645,126.9547,24.688,609.4994,-2.71,0.5,0.18,206,5,126,428,224,485,-1.48296,0.62233,-0.36866,0.04465,-1.24557,0.85017,-27.3,151,25,-46.9,61.6,4,19.6,89.4,21,-14.3,20.5,131.9,0.685,-0.2132,0.0062,-0.228,48.9,135.9,0.7,2.3,107.9,0.7,46.67,27.95,10,1.254,-12.549,11.3129,127.9818,27.1976,8.3912,70.4125,124.399,5.9859,35.8316,0.31,-0.22,0.26,20,-14,95,520,-536,-76,108,83.5,130,-0.7896,7.7581,0.7429,2.5226,83.5,130,-0.8,4.6,101,-0.8,78.89,29,26,7.83164,89.89057,3.3493,11.21779,30.44453,25.07305,628.65808,105.33962,5.62598,31.65167,0.43,-1.75,-0.31,-151,140,-156,-704,311,533
A,129,28.6,1.67,21,NA,NA,-0.670284,NA,1.8,21,NA,1.7,21,NA,0.13,0,0,129,0,0,28.6,0,0,1.74,0.0656,0.0043,-0.5,-0.03,-0.43,-45,70,-191,9,567,-404,-167,-9.77,152,25,0,-166.6667,0.5774,0.3333,-9.7867,0.0153,0.0002,152,0,0,-0.05,0,-0.11,-218,-75,-86,-427,353,459,NA,NA,NA,0.93522,NA,NA,-9.8,152,25,-9.8,152,25,0.03,0,0,-71.2,-71.2,39.1,NA,NA,1.5574,1.7259,-50.2,55.8,NA,-71.2,39.1,NA,21,16.7,4,0,-74.2531,3.0248,9.1495,-63.1127,11.275,127.1256,44.8672,9.4929,90.1159,0.34,-0.19,-0.16,-24,-24,14,498,-563,-158,83.4,-1.83,108,NA,NA,-1.2933,NA,-1.8,108,NA,-1.9,108,NA,0.04,0,34,0,83.4,0,0,-1.84667,0.02082,0.00043,108,0,0,0.13,0,-0.02,150,229,-197,-150,749,634
B,122,27.3,-6.13,19,1.808692,-0.208121,-1.344995,-0.04606,-4,21,1.8,-6.1,18,1.8,2.14,3,0.4,122.1,0.8,0.6,26.5,0.3,0.1,-4.6,0.5,0.25,-0.63,-0.03,-0.51,-41,73,-171,-7,578,-363,138,-54.5,73.4,23,88.0044,-29.5509,161.9636,26232.2079,-29.0523,28.4393,808.7941,36.1149,37.8599,1433.3702,2.62,-1.81,0.07,203,53,94,438,361,365,-1.2492,2.27297,-0.47927,0.059,1.65278,0.38277,16.3,152,57,-73.7,0.3,22,90,151.71,35,-69.5,2.3,87.6,-0.8439,-1.2509,0.0628,0.3157,16.7,98.8,-0.8,-56.9,24.7,-0.8,73.62,74.08,9,1.3929,-87.9793,16.256,264.2559,-19.8841,19.3646,374.989,60.4467,22.1365,490.0238,0.45,-0.66,0,2,-55,66,404,-616,-151,118,2.11,78.4,-0.666,-1.7949,-0.2277,0.183,71.3,165,-0.7,2.1,-175,-0.7,69.19,340,38,43.24123,-18.14035,136.38318,18600.37281,39.70158,18.72548,350.64373,-13.03158,107.2972,11512.68934,0.18,0.95,0.41,140,315,-142,-152,751,736
B,121,25.4,-4.06,19,2.092345,-0.137772,-1.648813,0.417859,-4.1,21,2.1,-8.8,18,2.1,4.76,3,0.5,121.8,0.9,0.8,25.8,0.4,0.1,-5.3,1.2,1.42,-0.4,-0.02,-0.46,-40,70,-164,6,588,-356,113,13.2,-28.5,35,91.8361,116.7209,1.8429,3.3965,3.046,6.6623,44.3864,74.1137,52.7474,2782.2836,-3.92,1.88,0.74,315,-41,-120,632,-34,-344,-1.34874,-1.14421,-1.22207,0.38807,-0.53018,-0.10593,13.7,130,35,-4.9,-28.5,4,18.6,158.5,31,-15.9,30.1,122.8,0.1835,0.8037,-0.1135,-0.8607,65.1,150.8,0.2,-30,21.9,0.2,95.14,128.91,10,2.7774,-36.2428,37.0019,1369.1392,16.6933,21.3509,455.8617,104.1269,27.8975,778.2686,0.9,0.55,-1.23,28,-15,89,518,-541,-70,148,62.9,170,-0.5568,0.5635,0.2602,1.4717,65.2,177,-0.6,27.3,-177,-0.6,37.9,354,16,79.44408,-22.48837,161.17565,25977.58915,46.22558,9.84635,96.95052,-68.05116,113.73912,12936.5878,-0.67,4.08,1.92,-9,125,-91,-635,126,808
B,1.53,3.17,-89.1,2,-1.09689,-1.851307,-0.107782,0.475418,-88.7,3,-1.1,-89.1,2,-1.1,0.4,1,0.1,1.5,0.2,0.1,3.4,0.5,0.3,-88.9,0.1,0.02,-0.05,0,-0.07,-8,4,17,24,561,-442,85.9,5.57,81.5,27,13.0227,94.1848,12.2506,150.0776,-18.5215,14.4156,207.8088,38.8464,30.1429,908.5931,1.77,-0.95,0.28,-167,201,-65,-37,327,598,-0.75971,-1.53916,-0.7755,0.81698,-0.04934,0.77287,5.6,81.5,48,-38.2,-51.5,19,43.77,133,29,30.4,98.3,48.5,-1.2793,-0.0872,-0.4453,0.31,105.4,154.2,-1.3,-45.1,-21.1,-1.3,150.54,175.32,25,21.1326,31.3375,4.5125,20.3625,79.7193,26.3221,692.8526,65.926,25.1831,634.19,0.59,-0.71,-0.21,200,72,112,264,378,360,178,21.5,103,4.3514,0.1412,-1.4133,-1.1923,21.5,110,4.4,15.5,24.5,4.4,6,85.5,35,1.92614,177.12121,1.05349,1.10985,19.63333,0.60605,0.36729,103.51212,5.74471,33.00172,-0.55,-0.35,0.61,-107,245,215,-621,1150,-535
B,1.2,2.45,-88.6,3,-1.272977,-0.726999,0.425377,-0.063162,-88.2,3,-1.3,-88.7,1,-1.3,0.5,2,0.3,1.5,0.4,0.2,2.2,0.4,0.2,-88.5,0.2,0.02,0.14,-0.02,-0.07,-7,4,24,25,565,-430,84.9,10.8,110,31,19.6753,82.7577,2.1474,4.6115,4.2723,9.7878,95.8013,93.5481,22.7605,518.0422,-0.26,-0.18,0.39,-236,141,-135,-334,296,564,0.47087,-0.44586,-0.27868,-1.28438,-0.95026,-1.00168,12.1,114,32,-21.5,40.7,17,33.6,73.3,15,37,88.1,55.1,0.794,0.7559,-1.4084,1.3799,101,126.9,0.8,21.8,41.2,0.8,79.25,85.67,21,21.8582,33.6457,4.6572,21.6892,82.2125,22.3238,498.3533,62.3152,23.173,536.9901,0.83,-0.55,-0.31,162,76,110,186,409,383,165,7.96,-8.01,1.2306,0.8729,-1.5397,-1.4067,25.8,111,1.2,8,-8,1.2,17.84,119.01,34,11.04525,-36,172.42037,29728.78431,21.87346,4.98634,24.86354,85.39577,34.07751,1161.2764,-0.71,4.74,0.69,244,143,180,538,-586,51
B,0.96,2.52,-88.3,2,-0.454973,3.139371,-0.359078,1.005522,-88.2,4,-0.5,-88.9,1,-0.5,0.7,3,0.3,1.6,0.4,0.2,3.1,0.4,0.2,-88.5,0.2,0.03,0.05,-0.02,-0.08,-7,3,22,38,561,-437,77.5,-3.08,89.5,22,8.519,84.6319,2.7674,7.6583,9.1436,3.8195,14.5889,110.7745,6.8776,47.3015,-2.26,0.72,-0.36,-97,186,41,84,217,625,2.80152,2.02943,1.16696,-1.946,-1.69901,-1.52916,11.6,116,32,-3.1,89.5,22,14.68,26.5,10,45.3,77.8,59.6,0.0612,1.4431,-0.8199,1.308,106.1,72.3,0.1,73.2,41.4,0.1,32.97,30.9,18,6.593,35.5596,4.7008,22.0973,93.9297,7.9381,63.0128,49.3946,7.2053,51.9165,1.35,-0.9,-0.36,125,78,100,64,393,408,175,8.76,-123,-1.7211,-1.4544,0.2504,0.0569,20.4,106,-1.7,4.8,-123,-1.7,15.57,229,32,94,112.89362,132.34511,17515.22757,11.99532,6.19188,38.33936,-8.58149,75.66463,5725.13696,-0.61,2.04,1.16,-183,-140,217,-447,-211,-64
B,1.01,3.15,-88.3,2,-1.655292,-2.078431,0.638323,0,-88.2,3,-1.7,-88.3,2,-1.7,0.1,1,0.3,1.3,0.6,0.3,2.3,0.6,0.4,-88.3,0,0,0.06,0.02,0.03,-6,2,21,38,570,-440,88.5,15.2,120,32,32.6572,94.5944,13.1494,172.9062,-5.8843,17.4161,303.3205,45.6143,58.6074,3434.8219,0.16,0.03,0.03,-235,160,-128,-451,320,463,-1.68602,-1.04776,-0.91934,-0.09454,-0.44472,0.01191,15.2,120,40,-29.1,-68.6,19,44.3,188.6,21,31.4,101.7,43.9,-1.4744,-0.2455,-0.2632,-0.4182,101.8,146.6,-1.5,-46.8,-41.9,-1.5,148.63,188.59,25,64.1747,-7.4322,61.8179,3821.4508,39.2367,52.1541,2720.0498,56.6559,51.2394,2625.4806,0.19,0.13,-0.34,212,77,106,327,369,340,169,16.9,8.88,-1.2199,0.3039,0.3326,-1.0494,23.9,112,-1.2,15.3,8.9,-1.2,8.6,103.12,36,9.4399,-97.59259,146.82495,21557.56674,18.89074,2.72745,7.43897,84.14593,27.61814,762.76159,-0.48,4.32,1.15,185,246,171,447,-273,-85
B,1.61,5.73,-92.7,3,-1.219362,-0.477443,0.143771,1.241064,-92.4,4,-1.2,-92.7,3,-1.2,0.3,1,0.2,1.3,0.3,0.1,6.9,0.7,0.5,-92.6,0.1,0.01,-0.08,0,-0.02,-16,6,25,1,610,-306,68.2,3.71,89.4,28,52.7299,99.3155,24.0177,576.8508,-36.6562,17.8744,319.4943,17.3845,44.0806,1943.0987,1.88,-0.74,-0.38,-233,136,-34,-92,340,585,-0.41972,-1.44727,-0.88274,1.0402,0.18677,0.36282,3.7,89.4,38,-52.6,-42,13,56.31,131.4,25,-151.8,0,5.3,1.3182,0.2015,-0.381,0.9511,83.7,128.4,1.3,-95.5,-56.5,1.3,179.17,184.91,4,16.6122,60.0371,101.2421,10249.9668,3.3371,31.0797,965.9448,20.7336,44.1366,1948.0393,0.13,0.03,0.05,0,-38,2,-566,262,-22,113,-32.8,109,-1.3363,-0.9271,-0.4099,-1.0143,87.5,129,-1.3,-32.8,-44.8,-1.3,120.3,173.8,41,36.7441,43.36379,82.37115,6785.00621,36.96828,39.56077,1565.05463,76.6781,69.84166,4877.85767,0.16,1.06,0.21,130,305,-227,-111,697,420
B,0.92,6.96,-92.8,3,-0.262453,2.777851,0.138543,-2.156553,-92.6,3,-0.3,-92.9,2,-0.3,0.3,1,0.1,1.4,0.3,0.1,6.9,0.3,0.1,-92.8,0.1,0.01,0.06,0,-0.03,-16,5,29,12,605,-307,113,-58.3,-7.24,23,84.3023,100.3558,25.8166,666.4992,-48.3163,10.0236,100.4723,-0.0188,35.7728,1279.6951,1.88,-1.06,0.89,114,22,-193,773,-164,9,-0.64958,-1.23874,-1.41687,0.88909,0.45688,-0.10843,-25.4,66.4,37,-58.3,-42.7,9,32.9,109.1,28,139.4,10.6,-14.1,-1.6345,-0.3141,0.1168,0.2432,95.6,35.5,-1.6,-6.1,-14.1,-1.6,101.66,49.62,3,29.3045,104.2091,26.614,708.3074,45.6189,33.2713,1106.9777,13.5328,11.1443,124.1951,0.31,-0.67,0.26,3,28,-4,-516,355,-51,116,-26.1,111,-0.0567,-0.6452,1.1372,-0.3678,-24.8,111,-0.1,-26.3,108,-0.1,1.5,3,38,0.24474,116.72093,0.45385,0.20598,-25.82791,0.45004,0.20254,109.88372,0.90526,0.81949,0.02,-0.02,-0.02,138,246,-237,-136,706,457
B,0.94,5.83,-92.8,3,-2.081633,4.749376,1.029951,0.752979,-92.8,4,-2.1,-92.8,2,-2.1,0,2,0.1,1.1,0.1,0,6.5,0.6,0.3,-92.8,0,0,0.06,0,-0.05,-14,6,28,0,607,-290,63.8,16.4,105,31,54.167,71.8288,13.0165,169.4299,-10.0963,29.1257,848.3091,72.5542,32.8418,1078.5858,-1.38,0.34,-0.05,-274,127,-35,-313,322,574,-1.30833,-0.43473,-1.59695,-0.48472,-0.76512,-0.10155,21.4,109,33,-58.3,-4,12,79.7,112.99,21,121.4,3,35.5,1.784,0.1854,0.486,-0.289,95.5,131,1.8,-64.4,-132.6,1.8,159.88,263.6,7,2.3692,6.1734,103.5865,10730.1683,-7.069,29.416,865.2996,27.1182,55.6383,3095.6207,-0.26,1.04,0.57,2,62,23,-518,340,-37,112,-19.2,120,8.8039,1.1119,2.6579,0.9766,-19.2,120,8.8,-26.2,112,8.8,7,8,43,1.56259,114.84615,0.97789,0.95626,-25.03654,1.31194,1.72119,114.34615,1.90854,3.64253,0.21,-1.45,-0.3,48,363,-207,-239,724,485
B,1.72,6.91,-92.7,3,-1.43045,0.708793,0.790583,1.638133,-92.6,4,-1.4,-92.7,3,-1.4,0.1,1,0.2,1.3,0.2,0,7,0.1,0,-92.7,0,0,-0.05,0,0.02,-19,3,20,11,602,-303,66.2,15.8,102,31,39.2881,85.6,24.7116,610.6623,-29.1294,27.548,758.8933,38.8928,47.1943,2227.2993,0.95,-0.37,0.1,-265,126,-66,-321,327,537,-1.5618,-1.35927,-1.08496,0.31798,-0.30676,-0.13785,15.8,102,35,-58.2,-40.5,13,74,142.5,22,-136.7,-20.2,-2.5,-0.5543,0.4819,0.1189,-0.659,32.3,55.9,-0.6,-49.4,-117.8,-0.6,81.64,173.66,4,14.4753,-6.6749,123.7781,15321.0147,-7.5065,19.564,382.7482,-6.6542,37.3884,1397.8958,-0.05,-0.05,0.21,-8,-39,-1,-600,180,-1,129,-22.2,107,-1.2398,-1.1461,-0.1904,-0.6711,82,179,-1.2,-22.2,-154,-1.2,104.2,333,45,71.27286,38.83019,114.08983,13016.48984,31.04547,33.83555,1144.84414,58.06981,92.25409,8510.81638,0.34,-0.14,0.2,51,376,-223,-154,691,401
B,0.91,5.7,-92.7,3,2.434548,6.235912,-2.078001,-2.816699,-92.7,3,2.4,-92.8,2,2.4,0.1,1,0.1,1.4,0.4,0.1,6.4,0.4,0.2,-92.7,0,0,0,0,-0.03,-19,4,27,0,599,-306,70.3,15.8,113,33,0,70.6073,0.1081,0.0117,16.4,0.2588,0.067,112.0732,0.7208,0.5195,-0.03,0.02,-0.03,-280,115,-110,-331,355,519,-0.6815,-1.00091,NA,-0.68196,-0.11073,NA,16.7,113,33,15.8,111,33,0.9,2,0,151,2.7,5.4,-0.9526,0.3951,0.5589,0.0278,94.9,45,-1,2.7,-11.2,-1,92.15,56.21,4,28.0756,108.7169,22.1913,492.4546,39.4174,27.9576,781.6256,18.021,12.251,150.0868,0.29,-0.71,-0.2,1,37,2,-527,326,-28,132,0.16,108,-0.9532,-1.71,-0.3497,-0.2628,69,172,-1,0.2,-177,-1,68.84,349,39,32.25244,22.73171,136.49689,18631.40122,40.55537,20.62301,425.30847,24.00244,116.68493,13615.37374,0.64,1.89,0.95,4,322,-205,-350,732,537
B,1.92,7.52,-93.2,3,-0.69466,2.362858,-0.270317,-1.111747,-93,4,-0.7,-93.2,2,-0.7,0.2,2,0.2,1.8,0.2,0,7.3,0.6,0.4,-93.1,0.1,0,0.11,0,0,-18,1,18,6,604,-317,67.3,7.14,88.2,34,48.7193,73.8891,3.7089,13.7557,0.3422,18.7468,351.444,78.1391,23.0619,531.8509,-2.89,0.95,-0.74,-262,183,80,-70,279,597,-0.54117,-0.80035,-1.26286,-0.86804,-0.63828,-0.60561,19,104,34,-41.3,26.2,12,60.3,77.8,22,62.2,10.3,93.7,-0.9662,2.2688,-0.3507,1.5446,66,98.3,-1,2.5,13.5,-1,63.5,84.81,6,13.7082,99.7859,13.5316,183.1042,37.1918,19.3165,373.1258,34.2006,21.7052,471.1147,0.34,-0.39,-0.52,6,34,47,-501,346,40,-156,37.6,-100,-1.7677,-0.93,0.1506,-0.9171,44.1,176,-1.8,-6.4,-178,-1.8,50.46,354,26,65.88841,91.78261,120.40892,14498.30725,17.25935,20.43685,417.66468,42.89565,117.2987,13758.98576,0.22,-3.23,-0.87,-82,-110,-213,-161,-564,65
B,1.15,5.41,-91.3,2,-1.080697,-1.191153,0.009746,0.921421,-91.3,3,-1.1,-92.3,2,-1.1,1,1,0.2,1.5,0.1,0,6.1,0.4,0.2,-91.8,0.3,0.09,0.08,0.02,-0.05,-14,5,16,24,599,-316,74.3,13,104,30,50.4011,92.5066,24.5453,602.4696,-13.6374,25.0153,625.7655,45.0077,59.4683,3536.4741,-1.54,0.4,-0.18,-250,151,-10,-291,344,530,-1.60362,-0.63191,-0.70687,-0.17793,-0.78767,0.08376,16.9,108,42,-49.8,-81,14,66.7,189,28,37,16.8,116.1,0.2909,1.2842,0.326,0.6792,23.9,130.5,0.3,4.5,108.7,0.3,19.31,21.78,7,0.3098,35.1983,4.2049,17.6811,12.5548,3.8656,14.9427,119.2773,3.8615,14.9112,-0.06,0,0.05,12,26,66,-482,349,100,-153,43.4,-96.9,-1.4616,-0.1588,0.2709,-1.2575,49.7,175,-1.5,-5.9,-179,-1.5,55.59,354,26,54.0388,101.42623,104.57827,10936.6153,18.87164,20.16965,406.81471,58.11311,108.94928,11869.94483,0.22,-2.71,-1.13,-84,-133,-202,-159,-570,71
